date;STXE 600;STXE 600 Banks € Pr;STXE 600 HealthCare € Pr;STXE 600 InduGd&Ser € Pr;STXE 600 Per&HouGds € Pr;STXE 600 Insurance € Pr;STXE 600 Food&Bevrg € Pr;STXE 600 Technology € Pr;STXE 600 Oil&Gas € Pr;STXE 600 Chemicals € Pr;STXE 600 Utilities € Pr;STXE 600 Auto&Parts € Pr;STXE 600 Telcomm € Pr;STXE 600 BasicResou € Pr;STXE 600 Constr&Mtr € Pr;STXE 600 Retail € Pr;STXE 600 Media € Pr;STXE 600 FinanServc € Pr;STXE 600 Trav&Leisr € Pr;STXE 600 RealEstate € Pr
28/11/2003;0,0093;0,0083;0,0211;-0,0218;0,0118;-0,0174;0,0175;0,0076;-0,0064;0,0382;0,0346;0,0009;0,0372;-0,0139;0,0314;-0,0099;0,0295;-0,0014;0,0048;0,0486
31/12/2003;0,0274;0,0232;0,0157;-0,0093;0,0109;0,0341;0,0143;-0,0247;0,095;0,0501;0,0665;0,0668;0,0336;0,0235;0,0369;-0,005;-0,0092;0,0205;0,0315;0,03
30/01/2004;0,0291;0,0227;0,0144;0,0486;0,0302;0,056;0,0447;0,1375;-0,0427;0,0171;0,0146;-0,0004;0,0493;0,0188;0,0339;-0,0016;0,104;0,0645;0,0249;0,0269
27/02/2004;0,0303;0,0175;0,005;0,0233;0,0443;0,0162;0,0516;0,0569;0,0451;-0,0113;0,0713;-0,0107;0,0087;0,064;0,0275;0,0804;0,0405;0,0527;0,0338;0,0865
31/03/2004;-0,0206;-0,025;-0,0151;-0,0222;-0,0042;-0,062;-0,0241;-0,0327;0,0212;-0,0364;0,0014;-0,0368;-0,0368;-0,0212;-0,0061;-0,0302;-0,045;-0,0008;-0,0253;0,0203
30/04/2004;0,016;0,0108;0,0636;0,0131;0,0048;0,0168;0,0284;-0,125;0,0527;0,0662;0,0143;0,0967;0,018;-0,0674;0,0278;-0,0082;0,0153;-0,0148;0,022;-0,031
31/05/2004;-0,0009;-0,0046;0,0003;-0,0127;-0,0102;-0,0171;0,0104;0,0021;0,014;0,0017;0,0169;0,0009;-0,0296;0,0166;-0,0032;0,0323;-0,0072;0,0089;-0,0187;0,0325
30/06/2004;0,0176;0,0095;-0,0193;0,0339;0,0159;0,0433;0,0267;0,0354;0,0173;0,0394;0,0323;0,0422;0,0046;0,0249;0,0297;0,0231;0,0276;0,0051;0,0213;0,02
30/07/2004;-0,0174;-0,0217;0,0046;-0,0228;-0,0359;-0,0472;-0,0471;-0,1181;0,0356;-0,0138;0,0093;-0,007;-0,0174;0,0506;0,005;-0,0205;-0,0629;-0,0218;-0,0263;0,0212
31/08/2004;-0,0085;0,017;0,0068;-0,0209;-0,0266;-0,0152;-0,044;-0,0505;-0,0215;-0,0214;0,0068;-0,045;0,0061;0,0037;0,0128;-0,02;-0,0377;0,0157;-0,031;0,0234
30/09/2004;0,0183;0,024;0,0016;0,0282;-0,0068;0,0134;-0,0275;0,0802;0,0313;0,03;0,0191;-0,0163;0,0217;0,0599;0,0294;0,0208;0,0112;0,0054;-0,0438;0,0088
29/10/2004;0,0116;0,0213;-0,0283;0,0021;0,0055;0,0103;0,0203;0,0399;0,0007;0,0155;0,0478;-0,0054;0,0471;-0,0502;0,005;-0,0053;0,0236;0,0164;0,013;0,0138
30/11/2004;0,028;0,0276;-0,0238;0,0335;0,0406;0,0469;0,0379;0,0359;0,0241;0,0508;-0,0049;-0,0009;0,0504;0,0832;0,0283;0,0167;0,0338;0,0656;0,0511;0,0571
31/12/2004;0,0194;0,0323;0,0336;0,0033;0,0336;0,0546;0,01;-0,0325;-0,0302;0,026;0,0519;0,0283;0,022;-0,0274;0,0431;0,0217;0,008;0,046;0,0516;0,0578
31/01/2005;0,024;0,0198;-0,0034;0,0591;0,014;0,0123;0,0225;-0,0266;0,0435;0,0113;0,0363;0,0282;0,0058;0,0452;0,0893;0,0397;0,0423;0,0296;0,0395;0,006
28/02/2005;0,031;0,022;0,029;0,0242;0,0252;0,0465;0,0349;0,0292;0,0852;0,0646;0,0001;0,035;-0,0107;0,1072;0,0155;0,013;0,0189;0,0254;0,0247;0,0119
31/03/2005;-0,0045;-0,008;0,002;0,0023;0,0175;0,0024;0,0188;-0,0245;-0,0136;-0,0042;-0,0005;0,0016;-0,0033;-0,0445;-0,0239;-0,0044;0,0095;-0,0169;-0,0077;-0,023
29/04/2005;-0,0169;-0,0244;0,0691;-0,0388;-0,0243;-0,0525;-0,0032;-0,015;-0,0145;-0,0365;0,0237;-0,0711;-0,0234;-0,0722;-0,0281;-0,0361;-0,0319;-0,0007;-0,0516;0,0183
31/05/2005;0,0512;0,0411;0,0527;0,0652;0,064;0,048;0,0555;0,108;0,0461;0,0554;0,051;0,0857;0,0294;0,0635;0,0768;0,0308;0,0341;0,0624;0,0623;0,0712
30/06/2005;0,035;0,0353;-0,0046;0,031;0,0301;0,0304;0,0065;0,0369;0,0944;0,0159;0,0485;0,0406;0,024;0,038;0,0576;0,0235;0,0276;0,0318;0,0399;0,0129
29/07/2005;0,0338;0,0312;0,029;0,0367;0,0343;0,0587;0,0359;0,0217;0,0297;0,0574;0,0011;0,0966;0,0395;0,0774;0,0489;0,0025;0,0061;0,0434;0,0249;0,0006
31/08/2005;0,0029;-0,008;-0,0017;0,0071;-0,0012;-0,0243;0,0095;-0,0303;0,0383;-0,0125;0,0272;-0,0085;0,0039;0,0316;0,0054;-0,0058;-0,0045;0,0216;0,0059;0,032
30/09/2005;0,0449;0,0463;0,0457;0,0466;0,0425;0,0456;0,0577;0,0787;0,0624;0,0734;0,0413;0,0748;-0,0022;0,1321;0,0267;-0,0157;0,0162;0,0557;-0,0047;0,0481
31/10/2005;-0,0233;-0,012;0,0183;-0,0314;-0,0131;0,003;-0,0049;-0,0437;-0,0727;-0,0294;-0,0363;-0,0773;-0,0025;-0,0516;-0,0436;-0,0239;-0,033;-0,0446;-0,0152;-0,0542
30/11/2005;0,0343;0,0527;0,0092;0,0525;0,0543;0,088;0,0078;0,0523;0,0246;0,0529;0,0461;0,0156;-0,0497;0,0567;0,0441;0,0238;0,0181;0,0542;0,0653;0,0368
30/12/2005;0,0356;0,0384;0,0259;0,0666;0,0552;0,0494;0,0124;0,0354;-0,0076;0,0505;0,0467;0,009;0,0088;0,0752;0,056;0,0694;0,0427;0,0519;0,0594;0,0377
31/01/2006;0,0362;0,0444;0,0094;0,0615;0,0137;0,0182;-0,0008;0,0184;0,0839;0,0258;0,0654;0,074;-0,044;0,1267;0,0649;0,0029;0,0101;0,0826;0,0174;0,0619
28/02/2006;0,0228;0,0592;-0,0116;0,0352;0,039;0,0482;0,0281;0,0102;-0,053;0,0059;0,0519;0,0435;-0,0105;-0,0085;0,0484;0,0536;-0,0103;0,0596;0,0063;0,0723
31/03/2006;0,0244;0,0023;0,0457;0,0219;0,0173;0,0241;0,0046;0,0736;0,0256;0,0153;-0,007;0,055;0,0464;0,0864;0,0544;-0,0001;0,0394;0,0477;0,0044;0,0338
28/04/2006;0,0114;0,0039;0,0071;0,0272;0,0102;-0,0106;0,0021;-0,0231;0,0309;0,0305;0,0057;-0,0063;0,0271;0,0505;0,0117;0,0078;0,0074;0,0052;0,0575;-0,0274
31/05/2006;-0,044;-0,0452;-0,0313;-0,068;-0,0618;-0,058;-0,0403;-0,0755;-0,0527;-0,0406;-0,0048;-0,0552;-0,0195;-0,044;-0,0612;-0,0076;-0,032;-0,0554;-0,0498;-0,0315
30/06/2006;0,0088;0,0035;0,0331;0,0016;0,0101;0,0008;0,0271;-0,0117;0,0114;-0,0018;0,0161;-0,0454;-0,0125;0,0082;0,0203;0,0373;-0,0014;0,0151;0,0452;0,0119
31/07/2006;0,0178;0,0197;0,0225;-0,0218;0,0394;0,0083;0,053;-0,0568;0,0335;0,0306;0,0475;0,018;0,0045;0,0192;-0,0003;0,051;-0,0255;0,0343;-0,0105;0,0702
31/08/2006;0,0299;0,0424;0,02;0,0366;0,0339;0,0644;0,0293;0,0588;-0,026;0,0216;0,0354;0,0438;0,0177;0,0109;0,0406;0,0311;0,0383;0,0298;0,0446;0,0132
29/09/2006;0,0207;0,0295;-0,0127;0,0325;0,0188;0,0361;0,0224;0,0112;-0,0309;0,032;0,0447;0,0192;0,0595;-0,0302;0,0412;0,0303;0,0278;0,0513;0,0485;0,0622
31/10/2006;0,0359;0,0339;-0,0036;0,0467;0,0153;0,0258;0,0017;0,0188;0,037;0,0345;0,0286;0,0771;0,0901;0,1274;0,0363;0,0347;0,0377;0,0486;0,041;0,0458
30/11/2006;-0,0019;-0,0202;-0,0314;0,005;0,0129;-0,0095;0,021;0,0011;0,0109;0,0106;0,0361;-0,0099;0,0056;-0,0241;0,0311;-0,0114;-0,0016;0,0076;0,0346;0,0226
29/12/2006;0,0387;0,0401;0,004;0,0688;0,0438;0,0465;0,0252;0,0343;0,011;0,0587;0,0429;0,0506;0,051;0,0377;0,0526;0,028;0,0174;0,0815;0,0712;0,0902
31/01/2007;0,021;0,0321;0,0271;0,0501;0,0342;0,0072;0,0189;-0,0028;-0,0336;0,0353;0,0036;0,0373;0,0305;0,0076;0,056;0,0222;0,0361;0,0217;0,0264;-0,0153
28/02/2007;-0,0196;-0,0378;-0,0175;-0,0204;-0,014;-0,0013;-0,0143;-0,0325;-0,0288;-0,0267;-0,0217;0,0399;-0,0316;0,0148;-0,0052;0,0194;-0,0222;-0,0176;-0,0114;-0,0062
30/03/2007;0,0293;0,0156;0,0005;0,0332;0,045;-0,0068;0,0509;0,0158;0,0422;0,0818;0,048;0,0996;-0,0239;0,0774;0,0517;0,0652;0,0255;0,0382;0,0513;0,0276
30/04/2007;0,0397;0,0505;0,025;0,0691;0,0256;0,0579;0,0293;0,0537;0,0197;0,0493;0,0358;0,0516;0,053;0,0096;0,0334;0,0497;0,0138;-0,0036;0,0196;-0,0442
31/05/2007;0,0342;0,0129;-0,0133;0,0568;0,0329;0,0112;0,0156;0,0412;0,052;0,0419;0,067;0,0779;0,0527;0,1206;0,0715;-0,0043;0,0656;0,0248;0,0247;0,0054
29/06/2007;-0,0051;-0,0361;-0,0217;0,0101;-0,0141;-0,0186;-0,0054;0,0275;0,0764;0,0512;-0,0112;0,0235;0,0144;0,0375;-0,0188;-0,0421;-0,0206;-0,0543;-0,0471;-0,0897
31/07/2007;-0,0337;-0,0278;-0,0275;-0,0374;-0,0326;-0,061;-0,0201;-0,0232;-0,0353;-0,0312;-0,0426;-0,0182;-0,0488;-0,0103;-0,0438;-0,0253;-0,0354;-0,0506;-0,028;-0,0897
31/08/2007;-0,0081;-0,0408;-0,0061;-0,0158;-0,0024;-0,0015;0,0411;0,0319;-0,0263;0,0062;0,0295;-0,0274;0,0541;-0,0258;-0,0311;0,0059;-0,0115;-0,024;-0,0155;0,0159
28/09/2007;0,0058;-0,0251;-0,0132;-0,0106;0,0164;0,0254;-0,0143;0,0387;0,0246;-0,002;0,0312;0,0487;0,0466;0,1191;-0,0423;-0,0118;-0,0411;-0,0024;-0,0576;-0,07
31/10/2007;0,0291;0,0236;-0,0244;0,0408;0,0065;0,0103;0,0367;-0,0431;0,0379;0,0239;0,054;0,0964;0,0796;0,0192;0,0328;0,0485;0,0255;0,0364;0,068;-0,0204
30/11/2007;-0,0446;-0,0702;0,0248;-0,0478;-0,0241;-0,1029;0,0006;-0,067;-0,0408;-0,0193;0,0104;-0,1248;-0,0167;-0,0328;-0,0511;-0,0733;-0,0637;-0,0458;-0,1269;-0,0937
31/12/2007;-0,0151;-0,0351;-0,0435;-0,0091;0,0136;-0,0045;-0,0092;-0,026;0,0267;0,0595;0,0023;-0,0409;-0,0182;-0,0485;-0,035;-0,0364;0,0066;-0,0192;-0,0323;-0,0362
31/01/2008;-0,1154;-0,135;-0,0683;-0,1368;-0,1268;-0,1274;-0,0985;-0,0984;-0,1436;-0,0987;-0,1096;-0,1585;-0,0798;-0,089;-0,1237;-0,1237;-0,1018;-0,0913;-0,1058;0,0065
29/02/2008;-0,0082;-0,0393;-0,0207;0,0226;-0,0025;-0,0037;0,004;-0,0351;0,0434;-0,0032;-0,0152;0,0032;-0,0692;0,1114;0,0163;-0,04;-0,037;-0,0246;-0,0548;0,0069
31/03/2008;-0,0366;-0,0108;-0,0404;-0,0442;-0,0194;0,0182;-0,002;-0,109;-0,0718;0,0055;-0,0532;0,0208;-0,0984;-0,0768;-0,0128;-0,0275;-0,0531;-0,0359;-0,0469;-0,0428
30/04/2008;0,064;0,0729;0,019;0,0585;0,0173;0,0551;0,0171;0,0723;0,1611;0,0943;0,0619;-0,0051;0,0586;0,1239;0,0325;0,0371;0,0465;0,0329;0,0563;-0,0046
30/05/2008;0,0087;-0,0573;0,013;0,0361;0,0122;-0,0224;0,0107;0,0325;0,0512;0,0381;0,0525;0,0043;0,0148;0,053;0,0278;-0,0224;0,0218;0,0059;-0,0053;-0,0398
30/06/2008;-0,0997;-0,1582;-0,0055;-0,1078;-0,1155;-0,1405;-0,1171;-0,1496;-0,0437;-0,046;-0,0739;-0,1583;-0,0725;-0,0184;-0,1723;-0,1273;-0,1405;-0,1366;-0,0976;-0,119
31/07/2008;-0,0185;0,031;0,0389;-0,011;0,0235;-0,0082;-0,029;0,0803;-0,1086;-0,0493;-0,0181;0,0081;-0,0267;-0,1211;-0,0852;-0,0479;0,041;0,0042;0,0038;-0,0036
29/08/2008;0,0184;0,0102;0,0323;0,0204;0,013;0,045;0,0702;0,0345;0,0189;-0,0091;-0,0047;0,025;0,0153;-0,0402;0,04;0,0652;0,0359;-0,0115;0,0317;0,0179
30/09/2008;-0,1102;-0,1087;-0,0457;-0,1582;-0,0588;-0,0773;-0,0113;-0,1778;-0,1489;-0,1341;-0,086;-0,015;-0,0638;-0,3148;-0,1391;-0,0572;-0,1274;-0,1554;-0,1198;-0,084
31/10/2008;-0,1319;-0,2389;0,0267;-0,2166;-0,1213;-0,2713;-0,0632;-0,1497;-0,0519;-0,1782;-0,1102;0,0914;-0,0724;-0,2311;-0,1352;-0,078;-0,0829;-0,1302;-0,1647;-0,2124
28/11/2008;-0,0674;-0,1509;-0,0881;-0,0178;-0,0588;0,0082;-0,0535;-0,0718;-0,025;-0,0607;-0,0558;-0,2774;0,0462;-0,1392;-0,0338;-0,0764;0,0071;-0,1159;0,0029;-0,1636
31/12/2008;-0,0376;-0,1061;-0,0147;0,0073;-0,0442;0,0178;-0,0313;-0,0263;-0,0907;0,0346;0,0007;-0,0172;-0,0251;-0,1229;0,0307;-0,0076;-0,026;-0,0776;-0,0358;-0,0264
30/01/2009;-0,0347;-0,0964;0,0024;-0,0302;0,0199;-0,1132;-0,0005;-0,0031;0,0278;-0,0588;-0,0539;-0,1012;-0,0584;-0,0138;-0,0852;0,0546;-0,0137;-0,0832;-0,0393;-0,0624
27/02/2009;-0,0924;-0,1723;-0,1049;-0,0763;-0,0541;-0,2141;-0,0643;-0,1039;-0,0527;-0,0306;-0,1145;-0,1678;-0,0151;-0,0482;-0,1208;-0,0368;-0,0478;-0,1068;-0,0473;-0,0951
31/03/2009;0,0238;0,109;0,0244;0,0123;-0,0234;0,0608;-0,029;0,073;-0,0003;-0,0034;-0,0314;0,1389;-0,0206;0,1372;0,083;-0,0006;-0,0107;0,1019;-0,0251;-0,0066
30/04/2009;0,1448;0,3574;0,0105;0,183;0,1136;0,27;0,047;0,1836;0,0767;0,1414;0,1008;0,2977;0,0079;0,2071;0,272;0,1121;0,1098;0,2224;0,1869;0,1924
29/05/2009;0,0516;0,0986;0,0184;0,0211;0,0328;0,0242;0,0675;0,0127;0,0968;0,083;0,062;-0,0337;0,0134;0,1328;-0,0119;0,0396;-0,0015;0,0708;0,0135;-0,003
30/06/2009;-0,0085;-0,0248;0,0196;0,0003;0,0071;-0,0153;0,0339;-0,0093;-0,0444;-0,048;-0,019;0,0254;0,0525;-0,0389;-0,0155;0,0061;-0,0448;-0,0197;-0,0497;-0,0087
31/07/2009;0,094;0,1541;0,0899;0,1067;0,1182;0,1012;0,0892;0,0317;0,0233;0,1327;0,0311;0,155;0,0797;0,1455;0,1061;0,0917;0,0789;0,0865;0,0004;0,1315
31/08/2009;0,0519;0,1307;0,0137;0,0601;0,027;0,0996;0,0151;0,0464;0,0385;0,0149;0,0745;-0,1027;0,0328;0,0003;0,0876;-0,0151;0,0643;0,0297;0,0838;0,1397
30/09/2009;0,0284;0,0168;0,0179;0,0413;0,0243;0,0736;0,0338;0,0393;0,0226;0,0445;0,0139;0,0275;0,0302;0,0317;0,0373;-0,0006;0,0412;0,0226;0,0517;0,0123
30/10/2009;-0,0223;-0,0565;0,0007;-0,0263;0,0067;-0,0828;0,0482;-0,0753;0,0143;-0,007;-0,0622;-0,0132;-0,0051;0,0059;-0,0647;0,0102;-0,0325;-0,0286;-0,0686;0,0182
30/11/2009;0,0123;-0,0172;0,017;0,015;0,005;-0,0154;-0,0003;-0,0054;0,008;0,0902;0,0136;-0,0177;0,021;0,1159;0,0353;0,0422;-0,0014;-0,0093;0,0174;-0,027
31/12/2009;0,0625;0,0163;0,067;0,0743;0,0971;0,0584;0,0824;0,0522;0,0719;0,0797;0,0864;0,0622;0,0383;0,11;0,0837;0,0324;0,0946;0,0533;0,0781;0,0579
29/01/2010;-0,0267;-0,0637;0,0089;-0,0038;0,0299;-0,0359;0,0038;0,0552;-0,0281;-0,0614;-0,0491;-0,0605;-0,0525;-0,0668;-0,0433;0,0194;-0,019;-0,054;0,03;-0,026
26/02/2010;-0,0028;-0,0088;0,0144;0,0131;0,0095;0,0175;0,0201;-0,0072;-0,0218;0,008;-0,0182;-0,0836;-0,0041;0,014;-0,0446;-0,0249;-0,0105;-0,0123;0,0085;-0,0172
31/03/2010;0,0761;0,0844;0,0324;0,0967;0,0671;0,0741;0,0478;0,1155;0,0683;0,0726;0,0448;0,1411;0,0491;0,1684;0,1015;0,0718;0,1;0,0918;0,0998;0,0675
30/04/2010;-0,0088;-0,0281;-0,0192;0,0238;-0,0093;-0,0516;0,0136;-0,0261;-0,0025;-0,0082;-0,0161;0,0645;-0,0197;-0,0552;0,0362;0,0417;0,024;0,0217;0,0315;-0,0226
31/05/2010;-0,0475;-0,0874;-0,0169;-0,0307;-0,0121;-0,0375;-0,0092;-0,0468;-0,0795;-0,0405;-0,0554;-0,0151;-0,0296;-0,0521;-0,1031;-0,031;-0,0501;-0,0588;-0,0588;-0,0448
30/06/2010;-0,0041;-0,0046;0,0398;0,0106;0,0401;-0,0077;0,0352;-0,0138;-0,0956;0,0333;-0,0338;0,0273;0,0293;-0,0605;-0,0213;-0,0187;0,005;0,0033;-0,0196;0,009
